var
"Aceh_232 693, 4.4, 307 845, 5.7, -75 152, -1.4"
"Sumatera Utara_586 721, 4.0, 2 341 095, 14.4, -1 754 374, -11.4"
"Sumatera Barat_405 024, 7.5, 1 232 335, 19.7, -827 311, -14.2"
"Riau_1 998 658, 28.8, 409 949, 7.7, 1 588 709, 25.9"
"Jambi_688 349, 19.1, 210 704, 6.7, 477 645, 14.2"
"Sumatera Selatan_974 161, 11.5, 896 299, 10.7, 77 862, 0.9"
"Bengkulu_372 758, 18.8, 149 944, 8.5, 222 814, 11.9"
"Lampung_1 402 046, 16.6, 880 446, 11.1, 521 600, 6.4"
"Kepulauan Bangka Belitung_218 732, 14.8, 100 921, 7.4, 117 811, 8.3"
"Kepulauan Riau_1 010 257, 46.4, 140 139, 10.7, 870 118, 50.0"
"DKI Jakarta_3 745 690, 35.6, 3 308 356, 32.8, 437 334, 4.2"
"Jawa Barat_5 698 359, 11.6, 2 651 834, 5.8, 3 046 525, 6.4"
"Jawa Tengah_1 143 288, 3.3, 6 943 718, 17.2, -5 800 430, -15.4"
"DI Yogyakarta_686 699, 17.9, 878 536, 21.8, -191 837, -4.9"
"Jawa Timur_1 064 004, 2.7, 3 770 731, 8.9, -2 706 727, -6.6"
"Banten_2 898 000, 22.5, 776 720, 7.2, 2 121 280, 18.0"
"Bali_478 193, 11.1, 269 820, 6.6, 208 373, 4.9"
"Nusa Tenggara Barat_138 284, 2.7, 225 514, 4.4, -87 230, -1.7"
"Nusa Tenggara Timur_190 887, 3.5, 315 743, 5.7, -124 856, -2.3"
"Kalimantan Barat_288 219, 5.7, 222 267, 4.5, 65 952, 1.3"
"Kalimantan Tengah_586 253, 21.7, 116 561, 5.2, 469 692, 19.0"
"Kalimantan Selatan_519 467, 12.3, 331 233, 8.2, 188 234, 4.6"
"Kalimantan Timur_1 232 356, 33.3, 197 624, 7.4, 1 034 732, 32.5"
"Kalimantan Utara_264 477, 35.9, 45 852, 8.9, 218 625, 34.9"
"Sulawesi Utara_209 210, 8.4, 188 132, 7.6, 21 078, 0.8"
"Sulawesi Tengah_481 187, 15.8, 165 604, 6.1, 315 583, 10.9"
"Sulawesi Selatan_402 000, 4.6, 1 565 848, 15.7, -1 163 848, -12.4"
"Sulawesi Tenggara_461 531, 17.1, 235 652, 9.6, 225 879, 8.8"
"Gorontalo_83 545, 7.0, 122 281, 9.9, -38 736, -3.2"
"Sulawesi Barat_191 357, 13.9, 107 920, 8.4, 83 437, 6.3"
"Maluku_157 436, 8.8, 220 388, 11.9, -62 952, -3.4"
"Maluku Utara_123 650, 9.9, 73 664, 6.1, 49 986, 4.1"
"Papua Barat_301 820, 31.6, 63 433, 8.9, 238 387, 28.6"
"Papua_546 443, 16.2, 117 867, 4.0, 428 576, 13.6"
