"",,Migran Masuk,Migran Keluar,Migran Neto
"",Provinsi,,,
"",,Jumlah Angka,Jumlah Angka,Jumlah Angka
"",(1),(2) (3),(4) (5),(6) (7)
Aceh,,"232 693 4,4","307 845 5,7","- 75 152 -1,4"
Sumatera Utara,,"586 721 4,0","2 341 095 14,4","-1 754 374 -11,4"
Sumatera Barat,,"405 024 7,5","1 232 335 19,7","- 827 311 -14,2"
Riau Jambi,,"1 998 658  688 349 28,8 19,1","409 949  210 704 7,7 id 6,7 .","1 588 709  477 645 25,914,2"
Sumatera Selatan,,"974 161 11,5","896 299 10o,7","77 862 0,9"
Bengkulu,,"372 758 18,8","149 944 .g8,5","222 814 11,9"
Lampung,,"1 402 046 16,6","880 446s 11,1","521 600 6,4"
Kep. Bangka Belitung,,"218 732 14,8","100 9p21 7,4","117 811 8,3"
Kepulauan Riau,,"1 010 257 46,4","1.4b0 139 10,7","870 118 50,0"
DKI Jakarta,,"3 745 690 35,6","w3 308 356 32,8","437 334 4,2"
Jawa Barat,,"5 698 359 11,6 w","2 651 834 5,8","3 046 525 6,4"
Jawa Tengah,,"1 143 288 3,3w","6 943 718 17,2","-5 800 430 -15,4"
DI Yogyakarta Jawa Timur,,"686 699 1 064 004 s 1:7/,9/ 2,7","878 536 3 770 731 21,8 8,9","- 191 837 -2 706 727 -4,9-6,6"
Banten,,"2 898 00t0p 22,5","776 720 7,2","2 121 280 18,0"
Bali Nusa Tenggara Barat,,"47h8 1t93  138 284 11,1 2,7","269 820  225 514 6,6 4,4","208 373 - 87 230 -1,74,9"
Nusa Tenggara Timur,,"190 887 3,5","315 743 5,7","- 124 856 -2,3"
Kalimantan Barat,,"288 219 5,7","222 267 4,5","65 952 1,3"
Kalimantan Tengah,,"586 253 21,7","116 561 5,2","469 692 19,0"
Kalimantan Selatan,,"519 467 12,3","331 233 8,2","188 234 4,6"
Kalimantan Timur,,"1 232 356 33,3","197 624 7,4","1 034 732 32,5"
Kalimantan Utara,,"264 477 35,9","45 852 8,9","218 625 34,9"
Sulawesi Utara,,"209 210 8,4","188 132 7,6","21 078 0,8"
Sulawesi Tengah,,"481 187 15,8","165 604 6,1","315 583 10,9"
Sulawesi Selatan,,"402 000 4,6","1 565 848 15,7","-1 163 848 -12,4"
Sulawesi Tenggara,,"461 531 17,1","235 652 9,6","225 879 8,8"
Gorontalo,,"83 545 7,0","122 281 9,9","- 38 736 -3,2"
Sulawesi Barat,,"191 357 13,9","107 920 8,4","83 437 6,3"
Maluku,,"157 436 8,8","220 388 11,9","- 62 952 -3,4"
Maluku Utara,,"123 650 9,9","73 664 6,1","49 986 4,1"
Papua Barat,,"301 820 31,6","63 433 8,9","238 387 28,6"
Papua,,"546 443 16,2","117 867 4,0","428 576 13,6"
