country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline
Indonesia,,2020-02-15,-2
Indonesia,,2020-02-16,-3
Indonesia,,2020-02-17,-3
Indonesia,,2020-02-18,-3
Indonesia,,2020-02-19,-3
Indonesia,,2020-02-20,-2
Indonesia,,2020-02-21,-2
Indonesia,,2020-02-22,0
Indonesia,,2020-02-23,-2
Indonesia,,2020-02-24,-2
Indonesia,,2020-02-25,-5
Indonesia,,2020-02-26,-2
Indonesia,,2020-02-27,0
Indonesia,,2020-02-28,1
Indonesia,,2020-02-29,2
Indonesia,,2020-03-01,1
Indonesia,,2020-03-02,5
Indonesia,,2020-03-03,3
Indonesia,,2020-03-04,0
Indonesia,,2020-03-05,4
Indonesia,,2020-03-06,2
Indonesia,,2020-03-07,3
Indonesia,,2020-03-08,1
Indonesia,,2020-03-09,2
Indonesia,,2020-03-10,3
Indonesia,,2020-03-11,3
Indonesia,,2020-03-12,2
Indonesia,,2020-03-13,2
Indonesia,,2020-03-14,-2
Indonesia,,2020-03-15,-7
Indonesia,,2020-03-16,-7
Indonesia,,2020-03-17,-9
Indonesia,,2020-03-18,-11
Indonesia,,2020-03-19,-16
Indonesia,,2020-03-20,-19
Indonesia,,2020-03-21,-23
Indonesia,,2020-03-22,-32
Indonesia,,2020-03-23,-27
Indonesia,,2020-03-24,-29
Indonesia,,2020-03-25,-38
Indonesia,,2020-03-26,-34
Indonesia,,2020-03-27,-36
Indonesia,,2020-03-28,-42
Indonesia,,2020-03-29,-47
Indonesia,,2020-03-30,-36
Indonesia,,2020-03-31,-35
Indonesia,,2020-04-01,-31
Indonesia,,2020-04-02,-33
Indonesia,,2020-04-03,-35
Indonesia,,2020-04-04,-40
Indonesia,,2020-04-05,-43
Indonesia,,2020-04-06,-34
Indonesia,,2020-04-07,-33
Indonesia,,2020-04-08,-34
Indonesia,,2020-04-09,-31
Indonesia,,2020-04-10,-43
Indonesia,,2020-04-11,-43
Indonesia,,2020-04-12,-46
Indonesia,,2020-04-13,-33
Indonesia,,2020-04-14,-34
Indonesia,,2020-04-15,-35
Indonesia,,2020-04-16,-34
Indonesia,,2020-04-17,-38
Indonesia,,2020-04-18,-43
Indonesia,,2020-04-19,-45
Indonesia,,2020-04-20,-34
Indonesia,,2020-04-21,-35
Indonesia,,2020-04-22,-34
Indonesia,,2020-04-23,-32
Indonesia,,2020-04-24,-49
Indonesia,,2020-04-25,-50
Indonesia,,2020-04-26,-53
Indonesia,,2020-04-27,-43
Indonesia,,2020-04-28,-43
Indonesia,,2020-04-29,-42
Indonesia,,2020-04-30,-40
Indonesia,,2020-05-01,-44
Indonesia,,2020-05-02,-46
Indonesia,,2020-05-03,-48
Indonesia,,2020-05-04,-38
Indonesia,,2020-05-05,-39
Indonesia,,2020-05-06,-38
Indonesia,,2020-05-07,-44
Indonesia,,2020-05-08,-44
Indonesia,,2020-05-09,-48
Indonesia,,2020-05-10,-48
Indonesia,,2020-05-11,-39
Indonesia,,2020-05-12,-38
Indonesia,,2020-05-13,-37
Indonesia,,2020-05-14,-36
Indonesia,,2020-05-15,-36
Indonesia,,2020-05-16,-37
Indonesia,,2020-05-17,-40
Indonesia,,2020-05-18,-33
Indonesia,,2020-05-19,-29
Indonesia,,2020-05-20,-26
Indonesia,,2020-05-21,-24
Indonesia,,2020-05-22,-27
Indonesia,,2020-05-23,-35
Indonesia,,2020-05-24,-51
