entity,Code,date,metrics,index
China,CHN,1990,gdp_index,100
China,CHN,1990,emission_index,100
China,CHN,1990,emission_adj_index,100
China,CHN,1991,gdp_index,107.78209199050764
China,CHN,1991,emission_index,103.43569148935288
China,CHN,1991,emission_adj_index,101.99399807892068
China,CHN,1992,gdp_index,121.61399374612604
China,CHN,1992,emission_index,106.89122178601662
China,CHN,1992,emission_adj_index,108.05864919780093
China,CHN,1993,gdp_index,136.91546235781064
China,CHN,1993,emission_index,113.11313188695284
China,CHN,1993,emission_adj_index,114.32526329838093
China,CHN,1994,gdp_index,153.02546845936183
China,CHN,1994,emission_index,118.97780193596128
China,CHN,1994,emission_adj_index,112.87859829804228
China,CHN,1995,gdp_index,167.95303387809318
China,CHN,1995,emission_index,127.91553062751308
China,CHN,1995,emission_adj_index,121.96283041071989
China,CHN,1996,gdp_index,182.69331401105353
China,CHN,1996,emission_index,132.38608850155268
China,CHN,1996,emission_adj_index,126.2467106012386
China,CHN,1997,gdp_index,197.53622788125526
China,CHN,1997,emission_index,131.5382412116891
China,CHN,1997,emission_adj_index,122.48802819108026
China,CHN,1998,gdp_index,211.00042471230697
China,CHN,1998,emission_index,124.82423594039167
China,CHN,1998,emission_adj_index,117.53184021544887
China,CHN,1999,gdp_index,225.20810804954573
China,CHN,1999,emission_index,123.60101294546372
China,CHN,1999,emission_adj_index,118.21992822443714
China,CHN,2000,gdp_index,242.4108493572564
China,CHN,2000,emission_index,126.16963687532264
China,CHN,2000,emission_adj_index,119.50180954396703
China,CHN,2001,gdp_index,260.7168799749509
China,CHN,2001,emission_index,128.21227727619677
China,CHN,2001,emission_adj_index,124.50885974193704
China,CHN,2002,gdp_index,282.6298208117902
China,CHN,2002,emission_index,140.65528151198976
China,CHN,2002,emission_adj_index,133.20052748811926
China,CHN,2003,gdp_index,309.06920927781005
China,CHN,2003,emission_index,164.56441815463057
China,CHN,2003,emission_adj_index,148.48102535021056
China,CHN,2004,gdp_index,338.3119741551467
China,CHN,2004,emission_index,188.34692156774148
China,CHN,2004,emission_adj_index,166.89050888170223
China,CHN,2005,gdp_index,374.65133239669024
China,CHN,2005,emission_index,210.8314537758393
China,CHN,2005,emission_adj_index,182.51594616088818
China,CHN,2006,gdp_index,419.95905956318734
China,CHN,2006,emission_index,231.6621887149265
China,CHN,2006,emission_adj_index,192.91213252152238
China,CHN,2007,gdp_index,477.2239231014028
China,CHN,2007,emission_index,247.83831496595096
China,CHN,2007,emission_adj_index,208.3675362351873
China,CHN,2008,gdp_index,520.60491442286
China,CHN,2008,emission_index,264.89236131006584
China,CHN,2008,emission_adj_index,226.15404904428988
China,CHN,2009,gdp_index,566.7094132405188
China,CHN,2009,emission_index,277.114845754085
China,CHN,2009,emission_adj_index,252.9975115140947
China,CHN,2010,gdp_index,623.9631167173728
China,CHN,2010,emission_index,301.91159884459336
China,CHN,2010,emission_adj_index,273.55007825671134
China,CHN,2011,gdp_index,680.2893556108833
China,CHN,2011,emission_index,331.5761861137847
China,CHN,2011,emission_adj_index,300.3993491328314
China,CHN,2012,gdp_index,730.2189819348704
China,CHN,2012,emission_index,338.3592272492226
China,CHN,2012,emission_adj_index,310.01321293771025
China,CHN,2013,gdp_index,783.0533153034028
China,CHN,2013,emission_index,342.17323515933214
China,CHN,2013,emission_adj_index,316.2513350020633
China,CHN,2014,gdp_index,836.9526695893136
China,CHN,2014,emission_index,341.15005020610016
China,CHN,2014,emission_adj_index,316.30659105245275
China,CHN,2015,gdp_index,891.3444838416053
China,CHN,2015,emission_index,334.6173000051813
China,CHN,2015,emission_adj_index,314.383306185967
China,CHN,2016,gdp_index,947.2474946300373
China,CHN,2016,emission_index,328.42027954353233
China,CHN,2016,emission_adj_index,314.55551831327244
China,CHN,2017,gdp_index,1007.4062806977702
China,CHN,2017,emission_index,333.58982768108535
China,CHN,2017,emission_adj_index,319.19702332264666
China,CHN,2018,gdp_index,1070.5123220512535
China,CHN,2018,emission_index,339.0511173341132
China,CHN,2018,emission_adj_index,326.28672503743377
China,CHN,2019,gdp_index,1130.1595646834824
China,CHN,2019,emission_index,344.99570747830154
China,CHN,2019,emission_adj_index,NA
China,CHN,2020,gdp_index,1152.5275572833957
China,CHN,2020,emission_index,341.3295365535379
China,CHN,2020,emission_adj_index,NA
India,IND,1990,gdp_index,100
India,IND,1990,emission_index,100
India,IND,1990,emission_adj_index,100
India,IND,1991,gdp_index,99.01642630973491
India,IND,1991,emission_index,104.31660360885391
India,IND,1991,emission_adj_index,101.6770485874508
